          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;             plus_operator;         default;                  1;         8.400;  Power (Watt)
      native-image;             plus_operator;         default;                  2;         7.120;  Power (Watt)
      native-image;             plus_operator;         default;                  3;         9.430;  Power (Watt)
      native-image;             plus_operator;         default;                  4;        77.150;  Power (Watt)
      native-image;             plus_operator;         default;                  5;        87.210;  Power (Watt)
      native-image;             plus_operator;         default;                  6;        94.960;  Power (Watt)
      native-image;             plus_operator;         default;                  7;        95.260;  Power (Watt)
      native-image;             plus_operator;         default;                  8;        89.840;  Power (Watt)
      native-image;             plus_operator;         default;                  9;       108.880;  Power (Watt)
      native-image;             plus_operator;         default;                 10;       109.050;  Power (Watt)
      native-image;             plus_operator;         default;                 11;       105.780;  Power (Watt)
      native-image;             plus_operator;         default;                 12;       102.060;  Power (Watt)
      native-image;             plus_operator;         default;                 13;       103.360;  Power (Watt)
      native-image;             plus_operator;         default;                 14;        96.170;  Power (Watt)
      native-image;             plus_operator;         default;                 15;        97.840;  Power (Watt)
      native-image;             plus_operator;         default;                 16;       102.050;  Power (Watt)
      native-image;             plus_operator;         default;                 17;       106.720;  Power (Watt)
      native-image;             plus_operator;         default;                 18;       104.900;  Power (Watt)
      native-image;             plus_operator;         default;                 19;        97.700;  Power (Watt)
      native-image;             plus_operator;         default;                 20;       108.230;  Power (Watt)
      native-image;             plus_operator;         default;                 21;       104.330;  Power (Watt)
      native-image;             plus_operator;         default;                 22;       101.900;  Power (Watt)
      native-image;             plus_operator;         default;                 23;       104.060;  Power (Watt)
      native-image;             plus_operator;         default;                 24;       101.840;  Power (Watt)
      native-image;             plus_operator;         default;                 25;       102.750;  Power (Watt)
      native-image;             plus_operator;         default;                 26;       102.610;  Power (Watt)
      native-image;             plus_operator;         default;                 27;       102.310;  Power (Watt)
      native-image;             plus_operator;         default;                 28;       102.140;  Power (Watt)
      native-image;             plus_operator;         default;                 29;       103.810;  Power (Watt)
      native-image;             plus_operator;         default;                 30;        99.780;  Power (Watt)
      native-image;             plus_operator;         default;                 31;       101.680;  Power (Watt)
      native-image;             plus_operator;         default;                 32;       102.690;  Power (Watt)
      native-image;             plus_operator;         default;                 33;        98.260;  Power (Watt)
      native-image;             plus_operator;         default;                 34;        98.770;  Power (Watt)
      native-image;             plus_operator;         default;                 35;        86.690;  Power (Watt)
      native-image;             plus_operator;         default;                 36;        82.270;  Power (Watt)
      native-image;             plus_operator;         default;                 37;        68.590;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  1;        14.600;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  2;        16.080;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  3;        16.030;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  4;        58.300;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  5;        65.140;  Power (Watt)
 eclipse-openj9-vm;            string_builder;         default;                  6;        69.060;  Power (Watt)
 eclipse-openj9-vm;             plus_operator;         default;                  1;        15.030;  Power (Watt)
 eclipse-openj9-vm;             plus_operator;         default;                  2;        13.190;  Power (Watt)
 eclipse-openj9-vm;             plus_operator;         default;                  3;        13.900;  Power (Watt)
