          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
        graalvm-ce;             megamorphic_8;         default;                  1;        17.260;  Power (Watt)
        graalvm-ce;             megamorphic_8;         default;                  2;        13.340;  Power (Watt)
        graalvm-ce;             megamorphic_8;         default;                  3;        16.020;  Power (Watt)
        graalvm-ce;             megamorphic_8;         default;                  4;        71.390;  Power (Watt)
        graalvm-ce;             megamorphic_8;         default;                  5;       102.270;  Power (Watt)
openjdk-hotspot-vm;                 bimorphic;         default;                  1;        16.210;  Power (Watt)
openjdk-hotspot-vm;                 bimorphic;         default;                  2;        13.710;  Power (Watt)
openjdk-hotspot-vm;                 bimorphic;         default;                  3;        13.700;  Power (Watt)
openjdk-hotspot-vm;                 bimorphic;         default;                  4;        72.330;  Power (Watt)
openjdk-hotspot-vm;                 bimorphic;         default;                  5;        86.020;  Power (Watt)
        graalvm-ce;             megamorphic_3;         default;                  1;        15.000;  Power (Watt)
        graalvm-ce;             megamorphic_3;         default;                  2;        13.800;  Power (Watt)
        graalvm-ce;             megamorphic_3;         default;                  3;        15.420;  Power (Watt)
        graalvm-ce;             megamorphic_3;         default;                  4;        82.680;  Power (Watt)
        graalvm-ce;             megamorphic_3;         default;                  5;        89.650;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  1;        14.450;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  2;        13.380;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  3;        16.180;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  4;        59.590;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  5;        64.810;  Power (Watt)
 eclipse-openj9-vm;             megamorphic_8;         default;                  6;        60.990;  Power (Watt)
    oracle-graalvm;                 bimorphic;         default;                  1;        15.230;  Power (Watt)
    oracle-graalvm;                 bimorphic;         default;                  2;        13.610;  Power (Watt)
    oracle-graalvm;                 bimorphic;         default;                  3;        13.910;  Power (Watt)
    oracle-graalvm;                 bimorphic;         default;                  4;        83.530;  Power (Watt)
    oracle-graalvm;                 bimorphic;         default;                  5;       101.780;  Power (Watt)
      native-image;               monomorphic;         default;                  1;         8.400;  Power (Watt)
      native-image;               monomorphic;         default;                  2;         6.850;  Power (Watt)
      native-image;               monomorphic;         default;                  3;         7.940;  Power (Watt)
      native-image;               monomorphic;         default;                  4;        73.080;  Power (Watt)
      native-image;               monomorphic;         default;                  5;        82.130;  Power (Watt)
      native-image;               monomorphic;         default;                  6;        91.660;  Power (Watt)
      native-image;               monomorphic;         default;                  7;        74.710;  Power (Watt)
      native-image;               monomorphic;         default;                  8;        96.630;  Power (Watt)
      native-image;               monomorphic;         default;                  9;        79.880;  Power (Watt)
      native-image;               monomorphic;         default;                 10;       105.910;  Power (Watt)
      native-image;               monomorphic;         default;                 11;       121.870;  Power (Watt)
      native-image;               monomorphic;         default;                 12;       102.750;  Power (Watt)
      native-image;               monomorphic;         default;                 13;       104.340;  Power (Watt)
      native-image;               monomorphic;         default;                 14;       104.340;  Power (Watt)
      native-image;               monomorphic;         default;                 15;       103.820;  Power (Watt)
      native-image;               monomorphic;         default;                 16;       107.190;  Power (Watt)
      native-image;               monomorphic;         default;                 17;       105.230;  Power (Watt)
      native-image;               monomorphic;         default;                 18;       103.390;  Power (Watt)
      native-image;               monomorphic;         default;                 19;       102.690;  Power (Watt)
