          Category;                      Type;  Run Identifier;  Energy Samples; Total Energy (Watt⋅sec)
        graalvm-ce;    unguarded_parametrized;         default;               5;                 181.597
      native-image;    unguarded_parametrized;         default;              37;                3488.236
 eclipse-openj9-vm;                    lambda;         default;               6;                 234.285
openjdk-hotspot-vm;    unguarded_parametrized;         default;               4;                 156.780
        graalvm-ce;                    lambda;         default;               5;                 208.647
openjdk-hotspot-vm;  unguarded_unparametrized;         default;               5;                 220.637
 eclipse-openj9-vm;    guarded_unparametrized;         default;               6;                 242.415
      native-image;                    lambda;        pgo_g1gc;              33;                3178.606
      native-image;    guarded_unparametrized;        pgo_g1gc;              33;                2846.786
     azul-prime-vm;                    lambda;         default;               8;                 573.210
    oracle-graalvm;                    lambda;         default;               5;                 220.467
      native-image;  unguarded_unparametrized;        pgo_g1gc;              32;                2744.679
    oracle-graalvm;    unguarded_parametrized;         default;               5;                 238.617
      native-image;      guarded_parametrized;        pgo_g1gc;              33;                2754.626
     azul-prime-vm;    guarded_unparametrized;         default;               9;                 655.407
        graalvm-ce;  unguarded_unparametrized;         default;               5;                 175.307
     azul-prime-vm;  unguarded_unparametrized;         default;              10;                 763.095
    oracle-graalvm;    guarded_unparametrized;         default;               5;                 185.177
    oracle-graalvm;      guarded_parametrized;         default;               4;                 123.630
        graalvm-ce;    guarded_unparametrized;         default;               5;                 185.847
openjdk-hotspot-vm;                    lambda;         default;               5;                 262.807
 eclipse-openj9-vm;      guarded_parametrized;         default;               6;                 235.145
      native-image;    unguarded_parametrized;        pgo_g1gc;              32;                2777.589
openjdk-hotspot-vm;      guarded_parametrized;         default;               4;                 158.440
 eclipse-openj9-vm;    unguarded_parametrized;         default;               6;                 232.235
      native-image;      guarded_parametrized;         default;              36;                3410.558
openjdk-hotspot-vm;    guarded_unparametrized;         default;               4;                 230.110
 eclipse-openj9-vm;  unguarded_unparametrized;         default;               6;                 224.185
      native-image;    guarded_unparametrized;         default;              37;                3494.136
      native-image;  unguarded_unparametrized;         default;              37;                3480.306
     azul-prime-vm;      guarded_parametrized;         default;              10;                 781.035
    oracle-graalvm;  unguarded_unparametrized;         default;               5;                 203.527
      native-image;                    lambda;         default;              38;                3606.593
     azul-prime-vm;    unguarded_parametrized;         default;               9;                 663.617
        graalvm-ce;      guarded_parametrized;         default;               5;                 218.747

# Note: The power reference baseline has already been excluded from the energy scores
